127.0.0.1 - - [11/Nov/2018:21:51:40 +0900] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:51:41 +0900] "GET /ddit/WEB-INF/classes/kr/or/ddit/controller/main/MainController.java HTTP/1.1" 404 8100
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:56:56 +0900] "GET /ddit/user/join/main.d HTTP/1.1" 404 8100
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:57:07 +0900] "GET /ddit/user/join/main.do HTTP/1.1" 200 42080
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:57:07 +0900] "GET /ddit/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:57:07 +0900] "GET /ddit/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:57:07 +0900] "GET /ddit/dist/css/skins/_all-skins.min.css HTTP/1.1" 200 41583
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:57:07 +0900] "GET /ddit/bower_components/Ionicons/css/ionicons.min.css HTTP/1.1" 200 51284
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:57:07 +0900] "GET /ddit/bower_components/jvectormap/jquery-jvectormap.css HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:57:07 +0900] "GET /ddit/bower_components/morris.js/morris.css HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:57:07 +0900] "GET /ddit/bower_components/bootstrap-datepicker/dist/css/bootstrap-datepicker.min.css HTTP/1.1" 200 15731
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:57:07 +0900] "GET /ddit/plugins/bootstrap-wysihtml5/bootstrap3-wysihtml5.min.css HTTP/1.1" 200 2226
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:57:07 +0900] "GET /ddit/bower_components/bootstrap-daterangepicker/daterangepicker.css HTTP/1.1" 200 8163
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:57:07 +0900] "GET /ddit/dist/css/AdminLTE.min.css HTTP/1.1" 200 91498
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:57:07 +0900] "GET /ddit/bower_components/fullcalendar/dist/fullcalendar.min.css HTTP/1.1" 200 16066
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:57:07 +0900] "GET /ddit/dist/img/user2-160x160.jpg HTTP/1.1" 200 7070
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:57:07 +0900] "GET /ddit/bower_components/jquery-ui/jquery-ui.min.js HTTP/1.1" 200 240427
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:57:07 +0900] "GET /ddit/bower_components/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:57:07 +0900] "GET /ddit/bower_components/raphael/raphael.min.js HTTP/1.1" 200 93251
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:57:07 +0900] "GET /ddit/bower_components/jquery-sparkline/dist/jquery.sparkline.min.js HTTP/1.1" 200 62647
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:57:07 +0900] "GET /ddit/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 200 33323
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:57:07 +0900] "GET /ddit/plugins/jvectormap/jquery-jvectormap-world-mill-en.js HTTP/1.1" 200 144313
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:57:07 +0900] "GET /ddit/bower_components/jquery-knob/dist/jquery.knob.min.js HTTP/1.1" 200 10804
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:57:07 +0900] "GET /ddit/bower_components/moment/min/moment.min.js HTTP/1.1" 200 51679
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:57:07 +0900] "GET /ddit/bower_components/jquery/dist/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:57:07 +0900] "GET /ddit/bower_components/bootstrap-daterangepicker/daterangepicker.js HTTP/1.1" 200 71115
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:57:07 +0900] "GET /ddit/bower_components/jquery-slimscroll/jquery.slimscroll.min.js HTTP/1.1" 200 4724
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:57:07 +0900] "GET /ddit/bower_components/fastclick/lib/fastclick.js HTTP/1.1" 200 25965
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:57:07 +0900] "GET /ddit/dist/js/adminlte.min.js HTTP/1.1" 200 14478
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:57:07 +0900] "GET /ddit/dist/img/user4-128x128.jpg HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:57:07 +0900] "GET /ddit/dist/img/user3-128x128.jpg HTTP/1.1" 200 3511
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:57:07 +0900] "GET /ddit/bower_components/bootstrap-datepicker/dist/js/bootstrap-datepicker.min.js HTTP/1.1" 200 33599
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:57:08 +0900] "GET /ddit/bower_components/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
0:0:0:0:0:0:0:1 - - [11/Nov/2018:21:57:08 +0900] "GET /ddit/bower_components/Ionicons/fonts/ionicons.eot?v=2.0.0 HTTP/1.1" 200 120724
0:0:0:0:0:0:0:1 - - [11/Nov/2018:23:35:07 +0900] "GET /ddit/user/join/main.do HTTP/1.1" 200 42080
0:0:0:0:0:0:0:1 - - [11/Nov/2018:23:35:13 +0900] "GET /ddit/user/join/project_manage.do HTTP/1.1" 200 25836
0:0:0:0:0:0:0:1 - - [11/Nov/2018:23:35:15 +0900] "GET /ddit/user/join/project_manage_see.do HTTP/1.1" 200 23189
0:0:0:0:0:0:0:1 - - [11/Nov/2018:23:35:26 +0900] "GET /ddit/user/join/bell.do HTTP/1.1" 200 35995
0:0:0:0:0:0:0:1 - - [11/Nov/2018:23:39:37 +0900] "GET /ddit/user/join/bell.do HTTP/1.1" 200 35969
0:0:0:0:0:0:0:1 - - [11/Nov/2018:23:39:45 +0900] "GET /ddit/user/join/bell.do HTTP/1.1" 200 35969
0:0:0:0:0:0:0:1 - - [11/Nov/2018:23:39:45 +0900] "GET /ddit/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2018:23:39:45 +0900] "GET /ddit/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2018:23:39:45 +0900] "GET /ddit/bower_components/Ionicons/css/ionicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2018:23:39:45 +0900] "GET /ddit/dist/css/skins/_all-skins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2018:23:39:45 +0900] "GET /ddit/bower_components/morris.js/morris.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2018:23:39:45 +0900] "GET /ddit/bower_components/jvectormap/jquery-jvectormap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2018:23:39:45 +0900] "GET /ddit/bower_components/bootstrap-datepicker/dist/css/bootstrap-datepicker.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2018:23:39:45 +0900] "GET /ddit/bower_components/bootstrap-daterangepicker/daterangepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2018:23:39:45 +0900] "GET /ddit/plugins/bootstrap-wysihtml5/bootstrap3-wysihtml5.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2018:23:39:45 +0900] "GET /ddit/dist/css/AdminLTE.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2018:23:39:45 +0900] "GET /ddit/bower_components/fullcalendar/dist/fullcalendar.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2018:23:39:45 +0900] "GET /ddit/dist/img/user2-160x160.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2018:23:39:45 +0900] "GET /ddit/bower_components/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
